"SEQ_ID","REF_TITLE","country","db_xref","host","mol_type","note","organism","specimen_voucher","collected_by","collection_date","identified_by","isolate","isolation_source","culture_collection","strain","clone","environmental_sample","lat_lon","tissue_type","altitude","variety"
"KF617773","A first comprehensive census of fungi in soil reveals both hyperdiversity and fine-scale niche partitioning","USA: Alaska, Bonanza Creek LTER, Site TKN0022","taxon:175245","","genomic DNA","PCR_primers=fwd_name: ITS1-FL, rev_name: TW13-pig-tailed","uncultured fungus","","","2005","","OTU466","Picea mariana forest soil mineral horizon","","","3272O6","_no_value","64.9965 N 147.6530 W","","",""
"KJ471515","Diversity of endophytic fungus associated with Melocactus ernestii (Cactaceae)","Brazil","taxon:1495708","Melocactus ernestii","genomic DNA","","Daldinia sp. UFMGCB 5822","","Alice Hughes and Frederic Hughes","","Alice Hughes","UFMGCB 5822","tissue of plant","","","","","","","",""
"JX658541","A polyphasic taxonomy of Daldinia (Xylariaceae)","New Zealand","taxon:1364919","","genomic DNA","","Daldinia sp. DP-2013a","","","","","","","ICMP:18263","","","","","","",""
"GU174387","Nitrogen deposition alters fungal community composition in northern hardwood forests","USA: Michigan, Manistee National Forest","taxon:175245","Acer saccharum","genomic DNA","PCR_primers=fwd_name: ITS1F, rev_name: TW13","uncultured fungus","","","13-Aug-2007","","","forest floor (Oi Horizon)","","","Oc_O_AugF11","_no_value","43.6687 N 86.1431 W","","",""
"JX421748","Exploring fungal endophytic community in Pinus sylvestris plantations from Northern Spain: its diversity and relation to diametric growth","Spain","taxon:1216298","Pinus sylvestris","genomic DNA","","Xylaria sp. ASR_H62_Ant","","","","","ASR_H62_Ant","","","","","","","","",""
"AJ390413","Phylogenetic study of Hypoxylon and related genera based on ribosomal ITS sequences","","taxon:97377","","genomic DNA","","Biscogniauxia mediterranea","","","","","B71C","","","","","","","mycelium","",""
"EF026134","ITS sequences from Xylariaceae and other pyrenomycetes","France: Oloron, Foret de Bugangue","taxon:97377","","genomic DNA","authority: Biscogniauxia mediterranea (De Not.) Kuntze","Biscogniauxia mediterranea","147 (JDR)","Candoussau, F. 366","23-Apr-1995","","147","corticated wood","","","","","","","",""
"GQ153054","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652247","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11032","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11032","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153067","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652260","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11060","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11060","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153073","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652266","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11072","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11072","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153074","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652267","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11074","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11074","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153075","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652268","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11075","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11075","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153076","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652269","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11076","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11076","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153077","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652270","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11077","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11077","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153078","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652271","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11078","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11078","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153085","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652278","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11093","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11093","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153086","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652279","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11094","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11094","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153087","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652280","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11095","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11095","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153090","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652283","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11107","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11107","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153094","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652287","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11112","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11112","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153095","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652288","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11114","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11114","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153097","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652290","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11118","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11118","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153098","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652291","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11119","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11119","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153100","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652293","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11122","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11122","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153109","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652301","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11135","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11135","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153130","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652314","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11165","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11165","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153192","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652370","Juniperus deppeana","genomic DNA","","Sordariomycetes sp. 11259","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11259","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153211","Diverse bacteria inhabit living hyphae of phylogenetically diverse fungal endophytes","","taxon:652385","Cupressus arizonica","genomic DNA","","Sordariomycetes sp. 11287","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA 11287","M. Hoffman","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ377490","Molecular phylogeny and paclitaxel screening of fungal endophytes from Taxus globosa","Mexico","taxon:97377","Taxus globosa","genomic DNA","","Biscogniauxia mediterranea","","","","","","bark","","SGSGf30","","","","","",""
"JF773618","Phylogenetic analysis and ecological relationship of endophytic fungi associated to Taxus globosa","Mexico: El Chico National Park, Hidalgo State","taxon:1033149","Taxus globosa","genomic DNA","","Sordariomycetes sp. CHTAF5","","","","","","bark","","CHTAF5","","","","","",""
"JF773622","Phylogenetic analysis and ecological relationship of endophytic fungi associated to Taxus globosa","Mexico: El Chico National Park, Hidalgo State","taxon:1033150","Taxus globosa","genomic DNA","","Sordariomycetes sp. CHTAF9","","","","","","branches","","CHTAF9","","","","","",""
"JF773670","Phylogenetic analysis and ecological relationship of endophytic fungi associated to Taxus globosa","Mexico: El Chico National Park, Hidalgo State","taxon:1033151","Taxus globosa","genomic DNA","","Sordariomycetes sp. CHTAM76","","","","","","branches","","CHTAM76","","","","","",""
"JF773671","Phylogenetic analysis and ecological relationship of endophytic fungi associated to Taxus globosa","Mexico: El Chico National Park, Hidalgo State","taxon:1033152","Taxus globosa","genomic DNA","","Sordariomycetes sp. CHTAM78","","","","","","branches","","CHTAM78","","","","","",""
"JF773674","Phylogenetic analysis and ecological relationship of endophytic fungi associated to Taxus globosa","Mexico: El Chico National Park, Hidalgo State","taxon:1033116","Taxus globosa","genomic DNA","","Epicoccum sp. CHTAM88","","","","","","root","","CHTAM88","","","","","",""
"KF850388","Antifungal activity and diversity of endophytic fungi associated with Opuntia humifusa (Cactaceae)","USA","taxon:97377","Opuntia humifusa","genomic DNA","endophytic","Biscogniauxia mediterranea","","","06-Jul-2012","","Ohu 19B","stem tissue","","","","","","","",""
"KJ508268","Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi","USA: Santa Catalina Mountains, Pima Co., Coronado National Forest","taxon:1504631","Brachythecium fendleri","genomic DNA","","Sordariomycetes sp. genotype 951 JMUR-2014","ARIZ:ML0054","J.M. U'Ren","Jun-2011","","ML0054","surface-sterilized photosynthetic tissue","","","","","32.75 N 111.24 W","","2444 m.",""
"KJ508292","Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi","USA: Santa Catalina Mountains, Pima Co., Coronado National Forest","taxon:1504631","Brachythecium fendleri","genomic DNA","","Sordariomycetes sp. genotype 951 JMUR-2014","ARIZ:ML0088","J.M. U'Ren","Jun-2011","","ML0088","surface-sterilized photosynthetic tissue","","","","","32.75 N 111.24 W","","2444 m.",""
"KJ508334","Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi","USA: Santa Catalina Mountains, Pima Co., Coronado National Forest","taxon:1504631","Peltigera praetextata","genomic DNA","","Sordariomycetes sp. genotype 951 JMUR-2014","ARIZ:ML0137","J.M. U'Ren","Jun-2011","","ML0137","surface-sterilized lichen thallus","","","","","32.75 N 111.24 W","","2444 m.",""
"AJ390432","Phylogenetic study of Hypoxylon and related genera based on ribosomal ITS sequences","","taxon:109381","","genomic DNA","","Nemania serpens","","","","","N113C","","","","","","","mycelium","",""
"AY465458","Fungal endophytes in seeds and needles of Pinus monticola","USA: Idaho, Long Canyon","taxon:259222","Pinus monticola","genomic DNA","","Nemania sp. T4N24c(A)","","","","","T4N24c(A)","surface-sterilized needle","","","","","","","",""
"AY561216","Foliar endophyte biodiversity in natural Picea glauca stands in south Quebec area","","taxon:267498","Picea glauca","genomic DNA","foliar endophyte","foliar endophyte of Picea glauca sp. H1","","","","","H1","","","","","","","","",""
"AY781226","Persistence and long-term impact of Rotstop biological control agent on mycodiversity in Picea abies stumps","Sweden","taxon:301117","Picea abies","genomic DNA","","Hypoxylon serpens","","","","","olrim28","","","","","","","","",""
"AY805565","Ecology and molecular characterization of dark septate fungi from roots, living stems, coarse and fine woody debris","Sweden","taxon:301117","","genomic DNA","","Hypoxylon serpens","R.Vasiliauskas olrim270 (Dept. For. Myc. Path. SUAS)","","","","olrim270","Picea abies wood disc","","","","","","","",""
"EF155504","Development of fungal communities during the progress of Fagus sylvatica wood decay in the Kellerwald-Edersee National Park","","taxon:109381","","genomic DNA","","Nemania serpens","","","","","BF330","","","","","","","","",""
"EU709769","Fungal endophytes of Lycopodiaceae family","","taxon:109381","Huperzia selago","genomic DNA","PCR_primers=fwd_name: ITS5, rev_name: ITS4","Nemania serpens","","","","","","","","WA0000009393","","","","","",""
"FJ903321","Butt rot incidence, causal fungi, and related yield loss in Picea abies stands of Latvia","Latvia","taxon:301117","Picea abies","genomic DNA","","Hypoxylon serpens","","","","","C41","stump","","","","","","","",""
"FN428829","Chemotaxonomic and phylogenetic studies of Thamnomyces (Xylariaceae)","","taxon:109381","","genomic DNA","","Nemania serpens","","","","","agrAR446","","CBS:533.72","","","","","","",""
"FN435830","First fungal community analyses of endophytic ascomycetes associated with Viscum album ssp. austriacum and its host Pinus sylvestris","Germany","taxon:109381","Viscum album subsp. austriacum","genomic DNA","","Nemania serpens","M-0128303","Peroh","08-Dec-2006","Peroh","","host leaf","","agrAR261","","","","","",""
"FN539047","Do all trees carry the seeds of their own destruction? PCR reveals numerous wood decay fungi latently present in sapwood of a wide range of angiosperm trees","","taxon:109381","","genomic DNA","","Nemania serpens","","","","","st61","","","","","","","hyphae","",""
"FN548149","Species richness analysis and ITS rDNA phylogeny revealed the majority of cultivable foliar endophytes from beech (Fagus sylvatica)","Germany:City of Greifswald, nature conservation area Elisenhain","taxon:672577","Fagus sylvatica","genomic DNA","grown in axenic cultures on 1.5Successalt extract agar","Xylariales sp. MU-2009-1","","Martin Unterseher","Sep-2007","Martin Unterseher","17","living surface-sterilised leaves","","","","","54.08 N 13.44 E","","",""
"GQ153015","Effects of H2S pollution and moisture gradients on fungal endophytes of the Chuska Mountains, Navajo Nation","","taxon:652211","Juniperus scopulorum","genomic DNA","","Sordariomycetes sp. DC2119","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA DC2119","Barbara Klein, Mary Shimabukuro, A. Elizabeth Arnold, and undergraduate students at Dine College","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ153036","Effects of H2S pollution and moisture gradients on fungal endophytes of the Chuska Mountains, Navajo Nation","","taxon:652231","Juniperus scopulorum","genomic DNA","","Sordariomycetes sp. DC2504","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA DC2504","Barbara Klein, Mary Shimabukuro, A. Elizabeth Arnold, and undergraduate students at Dine College","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"HM036598","Fungi in Roots of Nursery Grown Pinus sylvestris: Ectomycorrhizal Colonisation, Genetic Diversity and Spatial Distribution","Lithuania","taxon:301117","Pinus sylvestris","genomic DNA","","Hypoxylon serpens","","","","","","root tip","","KRP31-1","","","","","",""
"HQ115648","Community profiling and gene expression of fungal assimilatory nitrate reductases in agricultural soil","Austria: Vienna","taxon:109381","","genomic DNA","","Nemania serpens","","","","","D_D03","indoor air","","","","","","","",""
"HQ823758","Foliar nutrients shape fungal endophyte communities in Western white pine (Pinus monticola) with implications for white-tailed deer herbivory","USA: Montana, Antler Ridge Property","taxon:985114","Pinus monticola","genomic DNA","endophyte","Xylariales sp. PIMO_387","","","12-Dec-2008","Lorinda Hunt, Beau Larkin","","recovered on malt extract agar from surface sterilized needle tissue","","","","","","","",""
"JX298922","Endophytic fungi associated with lichens in China","China: Jilin","taxon:1233362","unidentified lichen","genomic DNA","","Sordariomycetes sp. M50 XS-2012","","","","","","Changbai Mountain","","M50","","","","","",""
"JX978245","Tree genotype and genetically based growth traits structure twig endophyte communities","USA: Ogden, Utah","taxon:1281683","Populus angustifolia","genomic DNA","","fungal sp. NLEndoHerit_016_2008N1-28-3E","","L.J. Lamit","","","","2 or 3 year-old twig tissue from adult narrowleaf cottonwood growing in a common garden","","NLEndoHerit_016_2008N1-28-3E","","","","","",""
"JX981491","Species diversity of fungal endophytes in early diverged plant lineages","Poland","taxon:109381","","genomic DNA","PCR_primers=fwd_name: its1f, rev_name: its4","Nemania serpens","","J.Pawlowska","","","","plant","","WA0000019129","","","","","",""
"KC867829","Fungal endophyte diversity in foliage of native and cultivated Rhododendron species","USA: Western Oregon","taxon:1380864","Rhododendron hybrid cultivar 'Jean-Marie de Montague'","genomic DNA","unidentified fungal endophyte of Rhododendron; PCR_primers=fwd_name: ITS1-F, rev_name: ITS4","fungal sp. NLR-2013","","","","","","nursery","","E201","","","","","",""
"KC867876","Fungal endophyte diversity in foliage of native and cultivated Rhododendron species","USA: Western Oregon","taxon:1380864","Rhododendron hybrid cultivar 'Jean-Marie de Montague'","genomic DNA","unidentified fungal endophyte of Rhododendron; PCR_primers=fwd_name: ITS1-F, rev_name: ITS4","fungal sp. NLR-2013","","","","","","nursery","","E247","","","","","",""
"KC867935","Fungal endophyte diversity in foliage of native and cultivated Rhododendron species","USA: Western Oregon","taxon:1380864","Rhododendron hybrid cultivar 'Jean-Marie de Montague'","genomic DNA","unidentified fungal endophyte of Rhododendron; PCR_primers=fwd_name: ITS1-F, rev_name: ITS4","fungal sp. NLR-2013","","","","","","nursery","","E68","","","","","",""
"KF573986","Identification of endophytic fungi of common yew (Taxus baccata L.) and investigation of their phylogeny using sequences of ITS1-5.8S-ITS2 regions","","taxon:1426778","","genomic DNA","","Nemania serpens var. serpens","","","","","11(2)TG","","","","","","","","","serpens"
"KJ508265","Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi","USA: Santa Catalina Mountains, Pima Co., Coronado National Forest","taxon:1504628","Brachythecium fendleri","genomic DNA","","Sordariomycetes sp. genotype 926 JMUR-2014","ARIZ:ML0049","J.M. U'Ren","Jun-2011","","ML0049","surface-sterilized photosynthetic tissue","","","","","32.75 N 111.24 W","","2444 m.",""
"KJ508280","Tissue storage and primer selection influence pyrosequencing-based inferences of diversity and community composition of endolichenic and endophytic fungi","USA: Santa Catalina Mountains, Pima Co., Coronado National Forest","taxon:1504628","Brachythecium fendleri","genomic DNA","","Sordariomycetes sp. genotype 926 JMUR-2014","ARIZ:ML0072","J.M. U'Ren","Jun-2011","","ML0072","surface-sterilized photosynthetic tissue","","","","","32.75 N 111.24 W","","2444 m.",""
"AF432179","Arthroxylaria elegans, a new coprophilous anamorphic fungus allied with the Xylariaceae, with notes on the genus Bisporostilbella","","taxon:178738","","genomic DNA","","Arthroxylaria elegans","","","","","","","CBS:537.79","CBS 537.79","","","","","",""
"FJ175173","Distribution of the antifungal agents sordarins across filamentous fungi","","taxon:498169","","genomic DNA","JP-3515","Xylaria mellissii","","","","","","","","F-048,697","","","","","",""
"FN689800","Three new Xylaria species from southwestern Europe","","taxon:747636","","genomic DNA","","Xylaria sp. MUCL 51697","","","","","agrMS207","","MUCL:51697","","","","","","",""
"FN689801","Three new Xylaria species from southwestern Europe","","taxon:747637","","genomic DNA","","Xylaria sp. MUCL 51698","","","","","agrMS208","","MUCL:51698","","","","","","",""
"FN689804","Three new Xylaria species from southwestern Europe","","taxon:747640","","genomic DNA","","Xylaria sp. MUCL 51705","","","","","agrMS222","","MUCL:51705","","","","","","",""
"FN812861","Molecular diversity of Xylaria isolated from fungus comb in termite nest in Sichuan and Yunnan Province","China:Sichuan Province","taxon:759270","","genomic DNA","","Xylaria sp. 638","","","","","","fungus comb","","638","","","","","",""
"HQ608132","Ecology of microfungal communities in gardens of fungus-growing ants (Hymenoptera: Formicidae): a year-long survey of three species of attine ants in Central Texas","USA: Stengl Biology Station, Texas","taxon:929393","","genomic DNA","isolated during summer season","Xylariales sp. TR123","","","2006","","TR123","Trachymyrmex septentrionalis nest","","","","","","","",""
"JF908808","Barcoding the Venice Museum Fungal Collection","Italy","taxon:114810","","genomic DNA","PCR_primers=fwd_name: ITS1, rev_name: ITS4","Xylaria arbuscula","16359","G.Medardi","07-Jul-2002","","","","","","","","","","",""
"JF908809","Barcoding the Venice Museum Fungal Collection","Italy","taxon:1033815","","genomic DNA","PCR_primers=fwd_name: ITS1, rev_name: ITS4","Xylaria cupressoides","16360","G.Medardi","21-Jul-2002","","","","","","","","","","",""
"JF908810","Barcoding the Venice Museum Fungal Collection","Italy","taxon:37992","","genomic DNA","PCR_primers=fwd_name: ITS1, rev_name: ITS4","Xylaria hypoxylon","16812","A.Bizzi","25-May-2004","","","","","","","","","","",""
